NASDAQ Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,NASDAQ,Common Stock
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",G,N,N,100,N,N,NASDAQ,No
AACI,Armada Acquisition Corp. I - Common Stock,G,N,N,100,N,N,NASDAQ,Yes
AACIU,Armada Acquisition Corp. I - Unit,G,N,N,100,N,N,NASDAQ,No
AACIW,Armada Acquisition Corp. I - Warrant,G,N,N,100,N,N,NASDAQ,No
AADI,"Aadi Bioscience, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AADR,AdvisorShares Dorsey Wright ADR ETF,G,N,N,100,Y,N,NASDAQ,No
AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AAME,Atlantic American Corporation - Common Stock,G,N,N,100,N,N,NASDAQ,Yes
AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
AAON,"AAON, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,G,N,N,100,Y,N,NASDAQ,No
AAPD,Direxion Daily AAPL Bear 1X Shares,G,N,N,100,Y,N,NASDAQ,No
AAPL,Apple Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AAPU,Direxion Daily AAPL Bull 1.5X Shares,G,N,N,100,Y,N,NASDAQ,No
AAXJ,iShares MSCI All Country Asia ex Japan ETF,G,N,N,100,Y,N,NASDAQ,No
ABCB,Ameris Bancorp - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100,N,N,NASDAQ,No
ABCM,Abcam plc - American Depositary Shares,Q,N,N,100,N,N,NASDAQ,No
ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ABIO,"ARCA biopharma, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ABL,"Abacus Life, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ABLLW,"Abacus Life, Inc. - Warrant",S,N,N,100,N,N,NASDAQ,No
ABLV,Able View Global Inc. - Class B Ordinary Shares,S,N,N,100,N,N,NASDAQ,No
ABLVW,Able View Global Inc. - Warrant,S,N,N,100,N,N,NASDAQ,No
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ABSI,Absci Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ABVC,"ABVC BioPharma, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,G,N,N,100,N,N,NASDAQ,Yes
ACABU,Atlantic Coastal Acquisition Corp. II - Unit,G,N,N,100,N,N,NASDAQ,No
ACABW,Atlantic Coastal Acquisition Corp. II - Warrant,G,N,N,100,N,N,NASDAQ,No
ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ACACU,Acri Capital Acquisition Corporation - Unit,S,N,N,100,N,N,NASDAQ,No
ACACW,Acri Capital Acquisition Corporation - Warrant,S,N,N,100,N,N,NASDAQ,No
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,S,N,E,100,N,N,NASDAQ,Yes
ACAHU,Atlantic Coastal Acquisition Corp. - Unit,S,N,E,100,N,N,NASDAQ,No
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,S,N,E,100,N,N,NASDAQ,No
ACAX,Alset Capital Acquisition Corp. - Class A Common Stock,G,N,D,100,N,N,NASDAQ,Yes
ACAXR,Alset Capital Acquisition Corp. - Right,G,N,D,100,N,N,NASDAQ,No
ACAXU,Alset Capital Acquisition Corp. - Unit,G,N,D,100,N,N,NASDAQ,No
ACAXW,Alset Capital Acquisition Corp. - Warrant,G,N,D,100,N,N,NASDAQ,No
ACB,Aurora Cannabis Inc. - Common Shares,Q,N,D,100,N,N,NASDAQ,No
ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,S,N,N,100,N,N,NASDAQ,No
