Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary,Summary,"Supporting quotes for ""Summary""","Reasoning for ""Summary"""
Machine learning and statistical methods for clustering single-cell RNA-sequencing data,"Raphael Petegrosso, Zhuliu Li, R. Kuang",10.1093/bib/bbz063,https://doi.org/10.1093/bib/bbz063,Briefings Bioinform.,137,2019,Clustering single cells to reveal cell subtypes and infer cell lineages based on the relations among the cells is a core analysis of the scRNA-seq transcriptome profiles developed in the past few years.,"The paper reviews machine learning and statistical methods for clustering single-cell RNA-sequencing data, addressing challenges like dropout of low-expression genes and uneven read coverage, and discusses the customization of clustering techniques along with the application of normalization and dimension reduction methods.","  - """"Single-cell RNAsequencing (scRNA-seq) technologies have enabled the large-scale whole-transcriptome profiling of each individual single cell in a cell population.""""
  - """"A core analysis of the scRNA-seq transcriptome profiles is to cluster the single cells to reveal cell subtypes and infer cell lineages based on the relations among the cells.""""
  - """"The review focuses on how conventional clustering techniques such as hierarchical clustering, graph-based clustering, mixture models, $k$-means, ensemble learning, neural networks and density-based clustering are modified or customized to tackle the unique challenges in scRNA-seq data analysis.""""
  - """"We review how cell-specific normalization, the imputation of dropouts and dimension reduction methods can be applied with new statistical or optimization strategies to improve the clustering of single cells.""""
  - """"Several software packages developed to support the cluster analysis of scRNA-seq data are also reviewed and experimentally compared to evaluate their performance and efficiency.""""","""Single-cell RNAsequencing (scRNA-seq) technologies have enabled the large-scale whole-transcriptome profiling of each individual single cell in a cell population.""  
""A core analysis of the scRNA-seq transcriptome profiles is to cluster the single cells to reveal cell subtypes and infer cell lineages based on the relations among the cells.""  
""The review focuses on how conventional clustering techniques such as hierarchical clustering, graph-based clustering, mixture models, $k$-means, ensemble learning, neural networks and density-based clustering are modified or customized to tackle the unique challenges in scRNA-seq data analysis.""  
""We review how cell-specific normalization, the imputation of dropouts and dimension reduction methods can be applied with new statistical or optimization strategies to improve the clustering of single cells.""  
""Several software packages developed to support the cluster analysis of scRNA-seq data are also reviewed and experimentally compared to evaluate their performance and efficiency.""  

- The abstract discusses the use of machine learning and statistical methods for clustering single-cell RNA-sequencing data.
- It highlights the challenges in analyzing scRNA-seq data such as dropout of low-expression genes, uneven read coverage, and ambiguous cell markers.
- The review covers various clustering techniques and how they are customized for scRNA-seq data analysis.
- It also mentions the application of normalization, imputation of dropouts, and dimension reduction methods to enhance clustering.
- The abstract concludes with a mention of software packages developed for analyzing scRNA-seq data.

The answer is: The paper reviews machine learning and statistical methods for clustering single-cell RNA-sequencing data, addressing challenges like dropout of low-expression genes and uneven read coverage, and discusses the customization of clustering techniques along with the application of normalization and dimension reduction methods. "
A systematic performance evaluation of clustering methods for single-cell RNA-seq data.,"A. Duò, M. Robinson, C. Soneson",10.12688/f1000research.15666.2,https://doi.org/10.12688/f1000research.15666.2,F1000Research,141,2018,Clustering methods were evaluated using nine publicly available single-cell RNA-seq data sets as well as three simulations with varying degree of cluster separability.,"The summary of the paper is the systematic evaluation of clustering methods for single-cell RNA-seq data, with SC3 and Seurat emerging as the top-performing methods.","  - """"Subpopulation identification, usually via some form of unsupervised clustering, is a fundamental step in the analysis of many single-cell RNA-seq data sets.""""
  - """"We found substantial differences in the performance, run time and stability between the methods, with SC3 and Seurat showing the most favorable results.""""
  - """"SC3 and Seurat generally performed favorably, with Seurat being several orders of magnitude faster.""""
  - """"SC3 and Seurat often showed the best performance.""""
  - """"Generally, the performance of Seurat was also not strongly affected by the gene filtering approach.""""
  - """"SC3 and Seurat, two clustering methods developed specifically for single-cell RNA-seq data, delivered the overall best performance.""""","""Subpopulation identification, usually via some form of unsupervised clustering, is a fundamental step in the analysis of many single-cell RNA-seq data sets."" 

""We found substantial differences in the performance, run time and stability between the methods, with SC3 and Seurat showing the most favorable results."" 

""SC3 and Seurat generally performed favorably, with Seurat being several orders of magnitude faster."" 

""SC3 and Seurat often showed the best performance."" 

""Generally, the performance of Seurat was also not strongly affected by the gene filtering approach."" 

""SC3 and Seurat, two clustering methods developed specifically for single-cell RNA-seq data, delivered the overall best performance."" 

- The paper provides a systematic evaluation of clustering methods for single-cell RNA-seq data, highlighting substantial differences in performance, run time, and stability, with SC3 and Seurat showing the most favorable results. [[The summary of the paper is the systematic evaluation of clustering methods for single-cell RNA-seq data, with SC3 and Seurat emerging as the top-performing methods. "
Adaptive quality-based clustering of gene expression profiles,"F. Smet, Janick Mathys, K. Marchal, G. Thijs, B. Moor, Y. Moreau",10.1093/BIOINFORMATICS/18.5.735,https://doi.org/10.1093/BIOINFORMATICS/18.5.735,Bioinform.,228,2002,Clustering is one of the first steps in data analysis of high-throughput expression measurements.,"The paper introduces a novel adaptive quality-based clustering algorithm for gene expression profiles that automatically determines the optimal cluster radius based on significantly coexpressed genes, overcoming the limitations of classical clustering algorithms.","  - """"Clustering (grouping genes with similar expression profiles) is one of the first steps in data analysis of high-throughput expression measurements.""""
  - """"We propose a heuristic iterative two-step algorithm: First, we find in the high-dimensional representation of the data a sphere where the 'density' of expression profiles is locally maximal.""""
  - """"In a second step, we derive an optimal radius of the cluster (adaptive approach) so that only the significantly coexpressed genes are included in the cluster.""""
  - """"By inferring the radius from the data itself, the biologist is freed from finding an optimal value for this radius by trial-and-error.""""","""Clustering (grouping genes with similar expression profiles) is one of the first steps in data analysis of high-throughput expression measurements.""  
""We propose a heuristic iterative two-step algorithm: First, we find in the high-dimensional representation of the data a sphere where the 'density' of expression profiles is locally maximal.""  
""In a second step, we derive an optimal radius of the cluster (adaptive approach) so that only the significantly coexpressed genes are included in the cluster.""  
""By inferring the radius from the data itself, the biologist is freed from finding an optimal value for this radius by trial-and-error.""  

- The paper introduces a novel adaptive quality-based clustering algorithm for gene expression profiles that overcomes the limitations of classical clustering algorithms by automatically determining the optimal radius of the cluster based on significantly coexpressed genes.
- The algorithm is described as a heuristic iterative two-step process that identifies a sphere with locally maximal expression profile density in the data and then calculates the optimal cluster radius using an EM-algorithm.
- This approach eliminates the need for predefined parameters like the number of clusters and ensures that only genes with high coexpression levels are included in the cluster.
- The method's computational complexity is noted to be approximately linear in the number of gene expression profiles, and its effectiveness is validated using existing data sets.

The answer is: The paper introduces a novel adaptive quality-based clustering algorithm for gene expression profiles that automatically determines the optimal cluster radius based on significantly coexpressed genes, overcoming the limitations of classical clustering algorithms. "
Visualizing Single-Cell RNA-seq Data with Semisupervised Principal Component Analysis,Zhenqiu Liu,10.3390/ijms21165797,https://doi.org/10.3390/ijms21165797,International Journal of Molecular Sciences,13,2020,The semisupervised principal component analysis approach for scRNA-seq visualization is convex and has a global optimal solution.,"The paper introduces a semisupervised principal component analysis (ssPCA) approach for visualizing single-cell RNA-seq data, emphasizing its ability to preserve both local and global structures, uncover transitions and progressions, integrate cluster labels, and provide a robust and computationally efficient tool for scRNA-seq cluster visualization.","  - """"Visualizing scRNA-seq data can help us effectively extract meaningful biological information and identify novel cell subtypes.""""
  - """"ssPCA is able to preserve both local and global structures of the data, and uncover the transition and progressions in the data, if they exist.""""
  - """"ssPCA is convex and has a global optimal solution. It is also robust and computationally efficient, making it viable for scRNA-seq cluster visualization.""""
  - """"ssPCA is most suitable for visualizing cell clusters detected from other scRNA-seq software, since cluster labels are required for ssPCA visualization.""""
  - """"ssPCA provides another viable tool for scRNA-seq visualization and has its advantages.""""","""Visualizing scRNA-seq data can help us effectively extract meaningful biological information and identify novel cell subtypes."" 

""ssPCA is able to preserve both local and global structures of the data, and uncover the transition and progressions in the data, if they exist.""

""ssPCA is convex and has a global optimal solution. It is also robust and computationally efficient, making it viable for scRNA-seq cluster visualization.""

""ssPCA is most suitable for visualizing cell clusters detected from other scRNA-seq software, since cluster labels are required for ssPCA visualization.""

""ssPCA provides another viable tool for scRNA-seq visualization and has its advantages.""

- The paper introduces the concept of visualizing single-cell RNA-seq data using a semisupervised principal component analysis (ssPCA) approach, which aims to preserve both local and global structures of the data, uncover transitions and progressions, and integrate cluster labels for visualization.
- ssPCA is highlighted as a robust, computationally efficient method that can be used for scRNA-seq cluster visualization, providing an alternative to popular methods like PCA, t-SNE, and UMAP.
- The paper emphasizes the importance of visualization in extracting meaningful biological information and identifying cell subtypes from scRNA-seq data.

The answer is: The paper introduces a semisupervised principal component analysis (ssPCA) approach for visualizing single-cell RNA-seq data, emphasizing its ability to preserve both local and global structures, uncover transitions and progressions, integrate cluster labels, and provide a robust and computationally efficient tool for scRNA-seq cluster visualization. "
"Integrating Deep Supervised, Self-Supervised and Unsupervised Learning for Single-Cell RNA-seq Clustering and Annotation","Liang Chen, Yuyao Zhai, Qiuyan He, Weinan Wang, Minghua Deng",10.3390/genes11070792,https://doi.org/10.3390/genes11070792,Genes,23,2020,The scAnCluster algorithm fully utilizes cell type labels available from reference data to facilitate the cell clustering and annotation on the unlabeled target data.,"The paper introduces a novel end-to-end cell supervised clustering and annotation framework called scAnCluster, which integrates deep supervised learning, self-supervised learning, and unsupervised learning techniques to improve cell clustering and annotation in single-cell RNA sequencing data. The framework utilizes cell type labels from reference data to guide clustering and annotation on unlabeled target data, outperforming other existing methods in simulation and real data.","  - """"Abstract: As single-cell RNA sequencing technologies mature, massive gene expression profiles can be obtained. Consequently, cell clustering and annotation become two crucial and fundamental procedures affecting other specific downstream analyses.""""
  - """"Most existing single-cell RNA-seq (scRNA-seq) data clustering algorithms do not take into account the available cell annotation results on the same tissues or organisms from other laboratories. Nonetheless, such data could assist and guide the clustering process on the target dataset.""""
  - """"In this paper, we propose a novel end-to-end cell supervised clustering and annotation framework called scAnCluster, which fully utilizes the cell type labels available from reference data to facilitate the cell clustering and annotation on the unlabeled target data.""""
  - """"Our algorithm integrates deep supervised learning, self-supervised learning and unsupervised learning techniques together, and it outperforms other customized scRNA-seq supervised clustering methods in both simulation and real data.""""
  - """"The rapid development of single-cell RNA sequencing technologies allows us to study tissue heterogeneity at the cellular level.""""","""Abstract: As single-cell RNA sequencing technologies mature, massive gene expression profiles can be obtained. Consequently, cell clustering and annotation become two crucial and fundamental procedures affecting other specific downstream analyses.""
""Most existing single-cell RNA-seq (scRNA-seq) data clustering algorithms do not take into account the available cell annotation results on the same tissues or organisms from other laboratories. Nonetheless, such data could assist and guide the clustering process on the target dataset.""
""In this paper, we propose a novel end-to-end cell supervised clustering and annotation framework called scAnCluster, which fully utilizes the cell type labels available from reference data to facilitate the cell clustering and annotation on the unlabeled target data.""
""Our algorithm integrates deep supervised learning, self-supervised learning and unsupervised learning techniques together, and it outperforms other customized scRNA-seq supervised clustering methods in both simulation and real data.""
""The rapid development of single-cell RNA sequencing technologies allows us to study tissue heterogeneity at the cellular level.""
- The paper introduces a novel end-to-end cell supervised clustering and annotation framework called scAnCluster, which integrates deep supervised learning, self-supervised learning, and unsupervised learning techniques to improve cell clustering and annotation in single-cell RNA sequencing data.
- The framework utilizes cell type labels from reference data to guide clustering and annotation on unlabeled target data, outperforming other existing methods in simulation and real data.
- The paper emphasizes the importance of cell clustering and annotation in single-cell RNA sequencing data analysis, highlighting the need for leveraging available cell annotation results to enhance the clustering process.
- The proposed framework aims to address the limitations of existing clustering algorithms by incorporating deep learning techniques and leveraging prior knowledge to improve the accuracy and efficiency of cell type annotation.
- The authors demonstrate the effectiveness and robustness of scAnCluster in various experiments, showcasing its superior performance in discovering novel cell types and integrating multiple datasets from the same tissue for clustering and annotation tasks. 

The answer is: The paper introduces a novel end-to-end cell supervised clustering and annotation framework called scAnCluster, which integrates deep supervised learning, self-supervised learning, and unsupervised learning techniques to improve cell clustering and annotation in single-cell RNA sequencing data. The framework utilizes cell type labels from reference data to guide clustering and annotation on unlabeled target data, outperforming other existing methods in simulation and real data. "
"A scalable unsupervised learning of scRNAseq data detects rare cells through integration of structure-preserving embedding, clustering and outlier detection","Koushik Mallick, Sikim Chakraborty, Saurav Mallik, S. Bandyopadhyay",10.1093/bib/bbad125,https://doi.org/10.1093/bib/bbad125,Briefings Bioinform.,1,2023,The proposed method successfully identifies cell types that constitute populations ranging from 0.1 to 8% on several benchmark datasets.,"The paper introduces a novel framework for clustering large-scale single-cell data and identifying rare-cell sub-populations, achieving high accuracy in identifying cell types within populations ranging from 0.1 to 8%.","  - """"Single-cell RNA-seq analysis has become a powerful tool to analyse the transcriptomes of individual cells.""""
  - """"we propose a novel framework for clustering large-scale single-cell data and subsequently identifying the rare-cell sub-populations.""""
  - """"The proposed method successfully identifies cell types that constitute populations ranging from 0.1 to 8% with F1-scores of 0.91 0.09.""""","""Single-cell RNA-seq analysis has become a powerful tool to analyse the transcriptomes of individual cells.""  
""we propose a novel framework for clustering large-scale single-cell data and subsequently identifying the rare-cell sub-populations.""  
""The proposed method successfully identifies cell types that constitute populations ranging from 0.1 to 8% with F1-scores of 0.91 0.09.""  

- Single-cell RNA-seq analysis is highlighted as a powerful tool for analyzing individual cells.
- The paper introduces a new framework for clustering single-cell data and detecting rare-cell sub-populations.
- The proposed method is successful in identifying cell types within populations ranging from 0.1 to 8% with high F1-scores.

The answer is: The paper introduces a novel framework for clustering large-scale single-cell data and identifying rare-cell sub-populations, achieving high accuracy in identifying cell types within populations ranging from 0.1 to 8%. (Low confidence)"
Parameter tuning is a key part of dimensionality reduction via deep variational autoencoders for single cell RNA transcriptomics,"Qiwen Hu, C. Greene",10.1142/9789813279827_0033,https://doi.org/10.1142/9789813279827_0033,Pacific Symposium on Biocomputing,49,2018,Deep neural networks can struggle when datasets contain more observations under some parameter configurations.,The paper discusses the importance of parameter tuning in VAE methods for single-cell RNA sequencing data and recommends unbiased comparisons between methods to avoid misleading performance evaluations.,"  - """"Many recent preprints accomplish this using variational autoencoders (VAE), generative models that learn underlying structure of data by compress it into a constrained, low dimensional space.""""
  - """"Our results should discourage authors and reviewers from relying on self-reported performance comparisons to evaluate the relative value of contributions in this area at this time.""""
  - """"Instead, we recommend that attempts to compare or benchmark autoencoder methods for scRNA-seq data be performed by disinterested third parties or by methods developers only on unseen benchmark data that are provided to all participants simultaneously because the potential for performance differences due to unequal parameter tuning is so high.""""
  - """"Our results indicate evaluation of model performance based on empirical results can be misleading in the presence of the CBI effect.""""","""Many recent preprints accomplish this using variational autoencoders (VAE), generative models that learn underlying structure of data by compress it into a constrained, low dimensional space."" 

""Our results should discourage authors and reviewers from relying on self-reported performance comparisons to evaluate the relative value of contributions in this area at this time.""

""Instead, we recommend that attempts to compare or benchmark autoencoder methods for scRNA-seq data be performed by disinterested third parties or by methods developers only on unseen benchmark data that are provided to all participants simultaneously because the potential for performance differences due to unequal parameter tuning is so high.""

""Our results indicate evaluation of model performance based on empirical results can be misleading in the presence of the CBI effect.""

- The paper discusses the use of variational autoencoders (VAE) for dimensionality reduction in single-cell RNA sequencing data and highlights the importance of parameter tuning in achieving optimal performance.
- It emphasizes the sensitivity of VAE methods to parameter settings and the potential for misleading performance evaluations based on self-reported comparisons.
- The paper recommends that comparisons between methods should be done by disinterested third parties or in a blinded design to control researcher degrees of freedom.
- The authors provide their source code and scripts for reproducibility of the analysis.

The answer is: The paper discusses the importance of parameter tuning in VAE methods for single-cell RNA sequencing data and recommends unbiased comparisons between methods to avoid misleading performance evaluations. "
Consensus Clustering: A Resampling-Based Method for Class Discovery and Visualization of Gene Expression Microarray Data,"Stefano  Monti, Pablo  Tamayo, Jill P. Mesirov, Todd R. Golub",10.1023/A:1023949509487,https://doi.org/10.1023/A:1023949509487,Machine Learning,1609,2004,A new methodology of class discovery and clustering validation tailored to the task of analyzing gene expression data.,"The paper presents a new methodology called consensus clustering for class discovery and clustering validation in gene expression data, utilizing resampling techniques and a visualization tool, with effectiveness evaluated through experiments on simulated and real data.","  - """"we present a new methodology of class discovery and clustering validation tailored to the task of analyzing gene expression data""""
  - """"The method can best be thought of as an analysis approach, to guide and assist in the use of any of a wide range of available clustering algorithms""""
  - """"We call the new methodology consensus clustering, and in conjunction with resampling techniques, it provides for a method to represent the consensus across multiple runs of a clustering algorithm and to assess the stability of the discovered clusters""""
  - """"The method can also be used to represent the consensus over multiple runs of a clustering algorithm with random restart (such as K-means, model-based Bayesian clustering, SOM, etc.), so as to account for its sensitivity to the initial conditions""""
  - """"Finally, it provides for a visualization tool to inspect cluster number, membership, and boundaries""""
  - """"We present the results of our experiments on both simulated data and real gene expression data aimed at evaluating the effectiveness of the methodology in discovering biologically meaningful clusters""""","""we present a new methodology of class discovery and clustering validation tailored to the task of analyzing gene expression data""
""The method can best be thought of as an analysis approach, to guide and assist in the use of any of a wide range of available clustering algorithms""
""We call the new methodology consensus clustering, and in conjunction with resampling techniques, it provides for a method to represent the consensus across multiple runs of a clustering algorithm and to assess the stability of the discovered clusters""
""The method can also be used to represent the consensus over multiple runs of a clustering algorithm with random restart (such as K-means, model-based Bayesian clustering, SOM, etc.), so as to account for its sensitivity to the initial conditions""
""Finally, it provides for a visualization tool to inspect cluster number, membership, and boundaries""
""We present the results of our experiments on both simulated data and real gene expression data aimed at evaluating the effectiveness of the methodology in discovering biologically meaningful clusters""

- The methodology presented is focused on class discovery and clustering validation for gene expression data.
- The approach, named consensus clustering, utilizes resampling techniques to assess the stability of discovered clusters and account for sensitivity to initial conditions.
- The methodology includes a visualization tool for inspecting cluster characteristics.
- The effectiveness of the methodology is evaluated through experiments on simulated and real gene expression data.

The answer is: The paper presents a new methodology called consensus clustering for class discovery and clustering validation in gene expression data, utilizing resampling techniques and a visualization tool, with effectiveness evaluated through experiments on simulated and real data. "
A comparison of automatic cell identification methods for single-cell RNA sequencing data,"Tamim  Abdelaal, Lieke  Michielsen, Davy  Cats, Dylan  Hoogduin, Hailiang  Mei, Marcel J. T. Reinders, Ahmed  Mahfouz",10.1186/s13059-019-1795-z,https://doi.org/10.1186/s13059-019-1795-z,Genome Biology,154,2019,The general-purpose support vector machine classifier has overall the best performance across the different experiments.,"The paper provides a comprehensive evaluation of 22 classification methods for automatic cell identification in single-cell RNA sequencing data, recommending the general-purpose SVM rejection classifier for its superior performance. Incorporating prior knowledge in the form of marker genes did not improve classification performance, and there were significant differences in performance based on input features. Computation time varied across methods based on the number of cells and features.","  - """"Here, we benchmarked 22 classification methods that automatically assign cell identities including single-cell-specific and general-purpose classifiers.""""
  - """"We present a comprehensive evaluation of automatic cell identification methods for single-cell RNA sequencing data.""""
  - """"All the code used for the evaluation is available on GitHub (https://github.com/tabdelaal/scRNAseq_Benchmark).""""
  - """"We recommend the use of the general-purpose SVM rejection classifier (with a linear kernel) since it has a better performance compared to the other classifiers tested across all datasets.""""
  - """"Overall, several classifiers performed accurately across different datasets and experiments, particularly SVM rejection, SVM, singleCellNet, scmapcell, scPred, ACTINN, and scVI.""""
  - """"Generally, all classifiers perform well across all datasets, including the general-purpose classifiers.""""
  - """"In our experiments, incorporating prior knowledge in the form of marker genes does not improve the performance.""""
  - """"We observed large differences in the performance between methods in response to changing the input features.""""
  - """"The tested methods vary considerably in their computation time which also varies differently across methods based on the number of cells and features.""""","""Here, we benchmarked 22 classification methods that automatically assign cell identities including single-cell-specific and general-purpose classifiers.""
""We present a comprehensive evaluation of automatic cell identification methods for single-cell RNA sequencing data.""
""All the code used for the evaluation is available on GitHub (https://github.com/tabdelaal/scRNAseq_Benchmark).""
""We recommend the use of the general-purpose SVM rejection classifier (with a linear kernel) since it has a better performance compared to the other classifiers tested across all datasets.""
""Overall, several classifiers performed accurately across different datasets and experiments, particularly SVM rejection, SVM, singleCellNet, scmapcell, scPred, ACTINN, and scVI.""
""Generally, all classifiers perform well across all datasets, including the general-purpose classifiers.""
""In our experiments, incorporating prior knowledge in the form of marker genes does not improve the performance.""
""We observed large differences in the performance between methods in response to changing the input features.""
""The tested methods vary considerably in their computation time which also varies differently across methods based on the number of cells and features.""

- The paper provides a comprehensive evaluation of 22 classification methods for automatic cell identification in single-cell RNA sequencing data.
- The authors recommend using the general-purpose SVM rejection classifier for its superior performance across all datasets.
- Incorporating prior knowledge in the form of marker genes did not improve the classification performance.
- There were significant differences in performance among methods based on the input features used.
- The computation time varied across methods based on the number of cells and features.

The answer is: The paper provides a comprehensive evaluation of 22 classification methods for automatic cell identification in single-cell RNA sequencing data, recommending the general-purpose SVM rejection classifier for its superior performance. Incorporating prior knowledge in the form of marker genes did not improve classification performance, and there were significant differences in performance based on input features. Computation time varied across methods based on the number of cells and features. "
scVAE: Variational auto-encoders for single-cell gene expression data,"C. Grønbech, Maximillian Fornitz Vording, P. Timshel, C. Sønderby, T. Pers, O. Winther",10.1101/318295,https://doi.org/10.1101/318295,bioRxiv,174,2018,Deep generative models can work directly with count data.,"The paper introduces scVAE, a novel method based on variational auto-encoders for analyzing single-cell RNA sequencing data without preprocessing, outperforming recent methods in clustering cells and reflecting cell types accurately.","  - """"Models for analysing and making relevant biological inferences from massive amounts of complex single-cell transcriptomic data typically require several individual data-processing steps, each with their own set of hyperparameter choices.""""
  - """"With deep generative models one can work directly with count data, make likelihood-based model comparison, learn a latent representation of the cells and capture more of the variability in different cell populations.""""
  - """"We propose a novel method based on variational auto-encoders (VAEs) for analysis of single-cell RNA sequencing (scRNA-seq) data.""""
  - """"It avoids data preprocessing by using raw count data as input and can robustly estimate the expected gene expression levels and a latent representation for each cell.""""
  - """"We show for several scRNA-seq data sets that our method outperforms recently proposed scRNA-seq methods in clustering cells and that the resulting clusters reflect cell types.""""","""Models for analysing and making relevant biological inferences from massive amounts of complex single-cell transcriptomic data typically require several individual data-processing steps, each with their own set of hyperparameter choices.""
""With deep generative models one can work directly with count data, make likelihood-based model comparison, learn a latent representation of the cells and capture more of the variability in different cell populations.""
""We propose a novel method based on variational auto-encoders (VAEs) for analysis of single-cell RNA sequencing (scRNA-seq) data.""
""It avoids data preprocessing by using raw count data as input and can robustly estimate the expected gene expression levels and a latent representation for each cell.""
""We show for several scRNA-seq data sets that our method outperforms recently proposed scRNA-seq methods in clustering cells and that the resulting clusters reflect cell types.""

- The paper introduces a novel method, scVAE, based on variational auto-encoders for analyzing single-cell RNA sequencing data without the need for data preprocessing.
- The method is shown to outperform recently proposed methods in clustering cells and accurately reflecting cell types in several scRNA-seq datasets.

The answer is: The paper introduces scVAE, a novel method based on variational auto-encoders for analyzing single-cell RNA sequencing data without preprocessing, outperforming recent methods in clustering cells and reflecting cell types accurately. "
