Tag,Class
Abap (Programming Language),Language
Acl Analytics (audit Command Language),Language
Actionscript (Programming Language),Language
Ada (Programming Language),Language
Ada 95 (Programming Language),Language
Adapter Scripting Language  (Programming Language),Language
Afrikaans (Language),Language
Ainu (Language),Language
Ajax (Programming Language),Language
Akan (Language),Language
Albanian (Language),Language
Algebraic Logic Functional (Programming Language),Language
Algol (Programming Language),Language
Alice (Programming Language),Language
American Sign Language,Language
Amharic (Language),Language
Anam (Language),Language
Apex (Programming Language),Language
Arabic (Language),Language
Armenian (Language),Language
Assamese (Language),Language
Assembly Language (Programming Language),Language
Awk (Programming Language),Language
Aymara (Language),Language
Azari (Language),Language
Azerbaijani (Language),Language
Bahasa (Language),Language
Ballerina (Programming Language),Language
Bash (Programming Language),Language
Basic (Programming Language),Language
Bassa (Language),Language
Batak (Language),Language
Beanshell (Programming Language),Language
Bemba (Language),Language
Benga (Language),Language
Bengali (Language),Language
Berber (Language),Language
Bislama (Language),Language
Blitzmax (Programming Language),Language
Boo (Programming Language),Language
Bosnian (Language),Language
Bunu (Language),Language
Burmese (Language),Language
C (Programming Language),Language
C Sharp (Programming Language),Language
C# (Programming Language),Language
C++ (Programming Language),Language
Carew (Language),Language
Carib (Language),Language
Castilian Spanish  (Language),Language
Catalan (Language),Language
Cebuano (Language),Language
CFML(coldfusion Markup Language) (Programming Language),Language
Chakma (Language),Language
Chamorro (Language),Language
Chango (Language),Language
Chichewa (nyanja) (Language),Language
Chinese (Language),Language
Clist (Programming Language),Language
Clojure (Programming Language),Language
Cobol (Programming Language),Language
Coffeescript (Programming Language),Language
Coldfusion (Programming Language),Language
Common Lisp (Programming Language),Language
Component Pascal (Programming Language),Language
Crystal (Programming Language),Language
Cython (Programming Language),Language
Czech (Language),Language
D (Programming Language),Language
Danish (Language),Language
Dari (Language),Language
Dart (Programming Language),Language
Dayi (Language),Language
Dcl (digital Command Language) (Programming Language),Language
Delphi (Programming Language),Language
Dhivehi (Language),Language
Dinka (Language),Language
Duala (Language),Language
Dutch (Language),Language
Dylan (Programming Language),Language
Dzongkha (bhutanese) (Language),Language
Eiffel (Programming Language),Language
Elixir (Programming Language),Language
Elm (Programming Language),Language
Endo (Language),Language
English (Language),Language
Erlang (Programming Language),Language
Ewondo (Language),Language
Extensible Languages,Language
Extensive Reading (Language Acquisition),Language
F Sharp (Programming Language),Language
F* (Programming Language),Language
F# (Programming Language),Language
Fali (langauge),Language
Fantom (Programming Language),Language
Filipino (Language),Language
Finnish (Language),Language
Fluid Hyper Text Markup Language (fhtml),Language
Forth (Programming Language),Language
Fortran (Programming Language),Language
French (Language),Language
Frisian (Language),Language
Fula (fulani) (Language),Language
Gaelic (Language),Language
Galo (Language),Language
Garifuna (Language),Language
German (Language),Language
Gherkin (Scripting Language),Language
Gikuyu (Language),Language
Go (Programming Language),Language
Google Dart (Programming Language),Language
Greek (Language),Language
Groovy (Programming Language),Language
Gujarati (Language),Language
Hack (Programming Language),Language
Haitian Creole (Language),Language
Hardware Description Language (Programming Language),Language
Haskell (Programming Language),Language
Hausa (Language),Language
Hawaiian (Language),Language
Haxe (Programming Language),Language
Haya (Language),Language
Hebrew (Language),Language
Hindi (Language),Language
Hmong (Language),Language
Hokkien Dialects (Language),Language
Hopi (Language),Language
Hungarian (Language),Language
Hungarian Language,Language
Hup (Language),Language
Igbo (Language),Language
Indonesian (Language),Language
Italian (Language),Language
J# (Programming Language),Language
Japanese (Language),Language
Java (Programming Language),Language
Javascript (Programming Language),Language
Jiba Language (jukunoid Languages),Language
Jscript (Programming Language),Language
Julia (Programming Language),Language
Just-another Hardware Description Language (jhdl)  (Programming Language),Language
Kachin (Language),Language
Kalenjin (Language),Language
Kannada (Language),Language
Kayan (Language),Language
Kazakh (Language),Language
Keyhole Markup Languages (Programming Language),Language
Khmer (Language),Language
Kikuyu (Language),Language
Kinyarwanda (Language),Language
Kirundi (Language),Language
Kol (Language),Language
Koma (Language),Language
Korean (Language),Language
Korwa (Language),Language
Kotlin (Programming Language),Language
Kurdish (Language),Language
Kurukh (Language),Language
Kwa (Language),Language
Kyrgyz (Language),Language
Labview (Programming Language),Language
Ladder Logic (Programming Language),Language
Ladino (Language),Language
Lango (Language),Language
Lao (Language),Language
Lawa (Language),Language
Lingala (Language),Language
Lingo (Programming Language),Language
Lisp (Programming Language),Language
Livescript (Programming Language),Language
Logo (Programming Language),Language
Lua (Programming Language),Language
Lule (Language),Language
Luxembourgish (Language),Language
M Programming Language (Programming Language),Language
Macedonian (Language),Language
Macromedia Flex Markup Language (Programming Language),Language
Maithili (Language),Language
Malagasy (Language),Language
Malayalam (Language),Language
Maltese (Language),Language
Mandarin (Language),Language
Manipuri (Language),Language
Manx (Language),Language
Marathi (Language),Language
MATLAB (Programming Language),Language
Mayan (Language),Language
Media Center Markup Language (Programming Language),Language
Mizo (Language),Language
Mongolian (Language),Language
Mql4 (metaquotes Language 4) (Programming Language),Language
Mumps (Programming Language),Language
Ndebele (Language),Language
Nepali (Language),Language
Nim (Programming Language),Language
Norwegian (Language),Language
Oberon (Programming Language),Language
Objective-C (Progamming Language),Language
Ocaml (Programming Language),Language
Openedge Abl (Programming Language),Language
Oriya (odia) (Language),Language
Ovambo (Language),Language
Oz (Programming Language),Language
Pari/gp (Programming Language),Language
Pascal (Programming Language),Language
Pashto (Language),Language
Perl (Programming Language),Language
Persian (farsi) (Language),Language
Phoenician (Language),Language
PHP (Programming Language),Language
Pl/i (Programming Language),Language
Pl/sql (Programming Language),Language
Polish (Language),Language
Portuguese (Language),Language
Postscript (Programming Language),Language
Powershell (Programming Language),Language
Prolog (Programming Language),Language
Punjabi (Language),Language
Purescript (Programming Language),Language
Python (Programming Language),Language
Q# (Programming Language),Language
Quecha (Language),Language
Quechua (Language),Language
R (Programming Language),Language
Racket (Programming Language),Language
Romanian (Language),Language
Ruby (Programming Language),Language
Russian (Language),Language
Rust (Programming Language),Language
Sakha (Language),Language
Samoan (Language),Language
Sango (Language),Language
Santhali (Language),Language
Saraiki (Language),Language
Sas (Programming Language),Language
Scala (Programming Language),Language
Scheme (Programming Language),Language
Scratch (Programming Language),Language
Seim (Language),Language
Serbo-croatian (Language),Language
Sesotho (Language),Language
Shama (Language),Language
Shan (Language),Language
Shell (Programming Language),Language
Shona (Language),Language
Silesian (Language),Language
Simula (Programming Language),Language
Sindhi (Language),Language
Sinhala (Language),Language
Siswati (swazi) (Language),Language
Slovak (Language),Language
Slovene Language,Language
Smalltalk (Programming Language),Language
Sogdian (Language),Language
Somali (Language),Language
Sotho (Language),Language
Spanish (Language),Language
Sql (Programming Language),Language
Sudanese (Language),Language
Sumerian (Language),Language
Sundanese (Language),Language
Swabian German (Language),Language
Swahili (Language),Language
Swati (Language),Language
Swedish (Language),Language
Swift (Programming Language),Language
Tagalog (filipino) (Language),Language
Tajik (Language),Language
Tamil (Language),Language
Tatar (Language),Language
Tcl (Programming Language),Language
Telugu (Language),Language
Thai (Language),Language
Tharu (Language),Language
Tibetan (Language),Language
Tigrinya (Language),Language
Tripuri (Language),Language
Tswana (Language),Language
Tulu (Language),Language
Turkish (Language),Language
Turkmen (Language),Language
Typescript (Programming Language),Language
Ubi (Language),Language
Uighur (Language),Language
Ukrainian (Language),Language
Unified Modeling Languages (Programming Language),Language
Urdu (Language),Language
Uzbek (Language),Language
Vb.net (Programming Language),Language
Vba (Programming Language),Language
Verilog (Programming Language),Language
Vhdl (Programming Language),Language
Vietnamese (Language),Language
Wagdi (Language),Language
Walloon (Language),Language
Waziri (Language),Language
Wxgtk (gtk+ Language Bindings),Language
XBRL  (Programming Language),Language
Xhosa (Language),Language
XML (Programming Language),Language
XUL  (Programming Language),Language
Yoruba (Language),Language
Zulu (Language),Language
